Group,Feature,MeanAbsSHAP_Class3,Rank
MiddleAged_Male,WaistCirc,1.205998,1
MiddleAged_Male,BMI,0.354987,2
MiddleAged_Male,Weight,0.315257,3
MiddleAged_Male,EducationLevel,0.262127,4
MiddleAged_Male,BreakfastFrequency,0.259607,5
MiddleAged_Male,DrinkingFrequency,0.20371,6
MiddleAged_Male,Carb_g,0.200416,7
MiddleAged_Male,Protein_g,0.19395,8
MiddleAged_Male,Sugar_g,0.165665,9
MiddleAged_Male,Fat_g,0.161535,10
MiddleAged_Male,Fiber_g,0.15117,11
MiddleAged_Male,Sodium_mg,0.146639,12
MiddleAged_Male,DrinkingAmount,0.146127,13
MiddleAged_Male,SaturatedFat_g,0.145274,14
MiddleAged_Male,Potassium_mg,0.145026,15
MiddleAged_Male,Energy_kcal,0.090359,16
MiddleAged_Male,WeightChangeStatus,0.069749,17
MiddleAged_Male,WeightLossAmount,0.050479,18
MiddleAged_Male,HouseholdIncomeQuartile,0.049606,19
MiddleAged_Male,SmokingStatus,0.042,20
MiddleAged_Male,PersonalIncomeQuartile,0.040727,21
MiddleAged_Male,HealthScreeningStatus,0.037535,22
MiddleAged_Male,StressLevel,0.034854,23
MiddleAged_Male,AerobicActivityRate,0.028786,24
MiddleAged_Male,WalkingActivity,0.02561,25
MiddleAged_Male,WeightGainAmount,0.024405,26
MiddleAged_Male,StressAwarenessRate,0.016247,27
MiddleAged_Male,VigorousActivity_Leisure,0.011191,28
MiddleAged_Male,VigorousActivity_Work,0.009884,29
MiddleAged_Male,ObesityStatus,0.004707,30
MiddleAged_Male,ModerateActivity_Work,0.004088,31
MiddleAged_Female,WaistCirc,1.047443,1
MiddleAged_Female,BMI,0.604287,2
MiddleAged_Female,Potassium_mg,0.229332,3
MiddleAged_Female,Sodium_mg,0.201636,4
MiddleAged_Female,Energy_kcal,0.178934,5
MiddleAged_Female,Carb_g,0.150862,6
MiddleAged_Female,Fiber_g,0.14981,7
MiddleAged_Female,WeightLossAmount,0.135841,8
MiddleAged_Female,BreakfastFrequency,0.119706,9
MiddleAged_Female,SaturatedFat_g,0.116542,10
MiddleAged_Female,Sugar_g,0.111634,11
MiddleAged_Female,Fat_g,0.109576,12
MiddleAged_Female,WeightChangeStatus,0.108527,13
