Variable,Group1,Group2,U_statistic,p_raw,p_corrected,Significant
Energy_kcal,MiddleAged_Male,MiddleAged_Female,9.0,0.1,0.6,No
Energy_kcal,MiddleAged_Male,Older_Male,7.0,0.4,1.0,No
Energy_kcal,MiddleAged_Male,Older_Female,9.0,0.1,0.6,No
Energy_kcal,MiddleAged_Female,Older_Male,0.0,0.1,0.6,No
Energy_kcal,MiddleAged_Female,Older_Female,9.0,0.1,0.6,No
Energy_kcal,Older_Male,Older_Female,9.0,0.1,0.6,No
Sodium_mg,MiddleAged_Male,MiddleAged_Female,9.0,0.1,0.6,No
Sodium_mg,MiddleAged_Male,Older_Male,6.0,0.7,1.0,No
Sodium_mg,MiddleAged_Male,Older_Female,9.0,0.1,0.6,No
Sodium_mg,MiddleAged_Female,Older_Male,0.0,0.1,0.6,No
Sodium_mg,MiddleAged_Female,Older_Female,5.0,1.0,1.0,No
Sodium_mg,Older_Male,Older_Female,9.0,0.1,0.6,No
Weight,MiddleAged_Male,MiddleAged_Female,9.0,0.1,0.6,No
Weight,MiddleAged_Male,Older_Male,7.0,0.4,1.0,No
Weight,MiddleAged_Male,Older_Female,9.0,0.1,0.6,No
Weight,MiddleAged_Female,Older_Male,0.0,0.1,0.6,No
Weight,MiddleAged_Female,Older_Female,4.0,1.0,1.0,No
Weight,Older_Male,Older_Female,8.0,0.2,1.0,No
