CaseKey,Group,Condition,Anthro,Energy,Conflict,AnyViol,N_changed
MiddleAged_Male_case1,MiddleAged_Male,PureDiCE,0,0,0,0,11
MiddleAged_Male_case1,MiddleAged_Male,PureDiCE,0,1,1,1,12
MiddleAged_Male_case1,MiddleAged_Male,PureDiCE,0,0,0,0,11
MiddleAged_Male_case1,MiddleAged_Male,PureDiCE,0,0,1,1,11
MiddleAged_Male_case1,MiddleAged_Male,Guardrail,0,0,0,0,10
MiddleAged_Male_case1,MiddleAged_Male,Guardrail,0,1,1,1,12
MiddleAged_Male_case1,MiddleAged_Male,Guardrail,0,0,0,0,10
MiddleAged_Male_case1,MiddleAged_Male,Guardrail,0,1,1,1,8
MiddleAged_Male_case2,MiddleAged_Male,PureDiCE,0,1,1,1,12
MiddleAged_Male_case2,MiddleAged_Male,PureDiCE,0,0,1,1,12
MiddleAged_Male_case2,MiddleAged_Male,PureDiCE,0,1,0,1,11
MiddleAged_Male_case2,MiddleAged_Male,PureDiCE,0,1,0,1,12
MiddleAged_Male_case2,MiddleAged_Male,Guardrail,0,1,1,1,9
MiddleAged_Male_case2,MiddleAged_Male,Guardrail,0,1,1,1,10
MiddleAged_Male_case2,MiddleAged_Male,Guardrail,0,0,1,1,9
MiddleAged_Male_case2,MiddleAged_Male,Guardrail,0,0,1,1,10
MiddleAged_Male_case3,MiddleAged_Male,PureDiCE,0,1,0,1,11
MiddleAged_Male_case3,MiddleAged_Male,PureDiCE,0,0,1,1,12
MiddleAged_Male_case3,MiddleAged_Male,PureDiCE,1,1,0,1,12
MiddleAged_Male_case3,MiddleAged_Male,PureDiCE,0,1,0,1,11
MiddleAged_Male_case3,MiddleAged_Male,Guardrail,0,1,0,1,11
MiddleAged_Male_case3,MiddleAged_Male,Guardrail,0,0,1,1,12
MiddleAged_Male_case3,MiddleAged_Male,Guardrail,1,1,0,1,12
MiddleAged_Male_case3,MiddleAged_Male,Guardrail,0,1,1,1,10
MiddleAged_Female_case1,MiddleAged_Female,PureDiCE,1,1,1,1,12
MiddleAged_Female_case1,MiddleAged_Female,PureDiCE,0,0,0,0,11
MiddleAged_Female_case1,MiddleAged_Female,PureDiCE,0,0,0,0,11
MiddleAged_Female_case1,MiddleAged_Female,PureDiCE,0,0,0,0,11
MiddleAged_Female_case1,MiddleAged_Female,Guardrail,1,1,1,1,10
MiddleAged_Female_case1,MiddleAged_Female,Guardrail,0,0,0,0,11
MiddleAged_Female_case1,MiddleAged_Female,Guardrail,0,1,0,1,10
MiddleAged_Female_case1,MiddleAged_Female,Guardrail,1,0,1,1,12
